Name,Id
"ARTIFICIAL INTELLIGENCE, ROBOTICS, AND CYBERNETICS",7
"BIG DATA ANALYTICS AND SYSTEMS",17
"BIOENGINEERING, ACOUSTICS, AND MAGNETIC RESONANCE ENGINEERING",1
CIRCUITS,5
"COMMUNICATION SYSTEMS",8
"CONTROL SYSTEMS",2
"CYBERPHYSICAL SYSTEMS",13
ELECTROMAGNETICS,3
"FOUNDATIONS AND THEORY",9
"HARDWARE SYSTEMS",15
MICROELECTRONICS/PHOTONICS,6
NANOTECHNOLOGY,10
"NETWORKING, MOBILE, AND DISTRIBUTED COMPUTING",16
"POWER AND ENERGY SYSTEMS",4
"REMOTE SENSING AND SPACE SCIENCE",11
"SIGNAL PROCESSING",12
"TRUST, RELIABILITY, AND SECURITY",14
